Date,gold_oz_usd_price,gold_kg_usd_price,gold_oz_gbp_price,gold_kg_gbp_price
1968-01-02 09:00:00+00:00,35.18,1131.06,14.64,470.69
1968-01-30 09:00:00+00:00,35.19,1131.38,14.59,469.08
1968-02-01 09:00:00+00:00,35.2,1131.7,14.59,469.08
1968-03-01 09:00:00+00:00,35.2,1131.7,14.66,471.33
1968-04-01 09:00:00+00:00,38,1221.73,15.81,508.3
1968-04-30 09:00:00+00:00,39.1,1257.09,16.32,524.7
1968-05-01 09:00:00+00:00,39.1,1257.09,16.31,524.38
1968-05-30 09:00:00+00:00,41.75,1342.29,17.5,562.64
1968-06-04 09:00:00+00:00,41.2,1324.61,17.27,555.24
1968-07-01 09:00:00+00:00,40.9,1314.96,17.16,551.71
1968-07-30 09:00:00+00:00,39.1,1257.09,16.33,525.02
1968-08-01 09:00:00+00:00,38.8,1247.45,16.21,521.16
1968-08-30 09:00:00+00:00,39.85,1281.21,16.72,537.56
1968-09-03 09:00:00+00:00,39.98,1285.38,16.77,539.17
1968-09-30 09:00:00+00:00,39.7,1276.38,16.63,534.67
1968-10-01 09:00:00+00:00,39.6,1273.17,16.58,533.06
1968-10-30 09:00:00+00:00,39.3,1263.52,16.43,528.24
1968-11-01 09:00:00+00:00,38.9,1250.66,16.26,522.77
1968-12-02 09:00:00+00:00,39.9,1282.81,16.72,537.56
1968-12-30 09:00:00+00:00,42,1350.33,17.61,566.17
1969-01-02 09:00:00+00:00,41.8,1343.9,17.52,563.28
1969-01-30 09:00:00+00:00,42.55,1368.01,17.81,572.6
1969-02-03 09:00:00+00:00,42.5,1366.4,17.77,571.32
1969-03-03 09:00:00+00:00,42.75,1374.44,17.86,574.21
1969-03-31 09:00:00+00:00,43.1,1385.7,18.01,579.03
1969-04-01 09:00:00+00:00,43.1,1385.7,18,578.71
1969-04-30 09:00:00+00:00,43.6,1401.77,18.26,587.07
1969-05-01 09:00:00+00:00,43.6,1401.77,18.28,587.71
