Date,platinum_oz_usd_price,platinum_kg_usd_price,platinum_oz_gbp_price,platinum_kg_gbp_price
1990-04-02 09:00:00+00:00,471,15142.98,289.65,9312.45
1990-04-30 09:00:00+00:00,472.25,15183.17,289.55,9309.24
1990-05-01 09:00:00+00:00,473.25,15215.32,288.75,9283.51
1990-05-30 09:00:00+00:00,496.5,15962.82,291.45,9370.32
1990-06-01 09:00:00+00:00,490,15753.84,292,9388
1990-07-02 09:00:00+00:00,487,15657.39,277.35,8917
1990-07-30 09:00:00+00:00,475.85,15298.91,258.4,8307.74
1990-08-01 09:00:00+00:00,485.15,15597.91,260.95,8389.73
1990-08-30 09:00:00+00:00,484.5,15577.01,251.5,8085.9
1990-09-03 09:00:00+00:00,487,15657.39,260.7,8381.69
1990-10-01 09:00:00+00:00,430,13824.8,227.15,7303.03
1990-10-30 09:00:00+00:00,418.25,13447.03,214.6,6899.54
1990-11-01 09:00:00+00:00,435.75,14009.67,225.3,7243.55
1990-11-30 09:00:00+00:00,425.1,13667.26,219.9,7069.94
1990-12-03 09:00:00+00:00,429.25,13800.69,222.3,7147.1
1990-12-31 09:00:00+00:00,415,13342.54,215.55,6930.08
1991-01-02 09:00:00+00:00,416.25,13382.73,214.2,6886.68
1991-01-30 09:00:00+00:00,386.5,12426.25,197.15,6338.51
1991-02-01 09:00:00+00:00,394.75,12691.49,200.85,6457.47
1991-03-01 09:00:00+00:00,401.75,12916.54,211.3,6793.44
1991-04-02 09:00:00+00:00,394.5,12683.45,224,7201.76
1991-04-30 09:00:00+00:00,391,12570.92,228.7,7352.87
1991-05-01 09:00:00+00:00,394.25,12675.41,226.7,7288.56
1991-05-30 09:00:00+00:00,369.5,11879.68,214.25,6888.29
1991-06-03 09:00:00+00:00,376.3,12098.31,221.9,7134.24
1991-07-01 09:00:00+00:00,379.85,12212.44,233.6,7510.4
1991-07-30 09:00:00+00:00,358.5,11526.03,212.45,6830.42
1991-08-01 09:00:00+00:00,363.5,11686.78,215.75,6936.51
1991-08-30 09:00:00+00:00,335.25,10778.52,198.6,6385.13
1991-09-02 09:00:00+00:00,338.5,10883.01,201.15,6467.11
1991-09-30 09:00:00+00:00,350.9,11281.68,200.1,6433.36
1991-10-01 09:00:00+00:00,354,11381.35,202.6,6513.73
1991-10-30 09:00:00+00:00,363,11670.7,210.05,6753.25
1991-11-01 09:00:00+00:00,362,11638.55,208.15,6692.17
1991-12-02 09:00:00+00:00,369.5,11879.68,207.95,6685.74
1991-12-30 09:00:00+00:00,330,10609.73,176.15,5663.35
1992-01-02 09:00:00+00:00,336.5,10818.71,179.75,5779.09
1992-01-30 09:00:00+00:00,353,11349.2,196.75,6325.65
1992-02-03 09:00:00+00:00,357,11477.8,199.35,6409.24
1992-03-02 09:00:00+00:00,358.5,11526.03,204.35,6570
1992-03-30 09:00:00+00:00,353.25,11357.23,203.55,6544.27
