Date,silver_oz_usd_price,silver_kg_usd_price,silver_oz_gbp_price,silver_kg_gbp_price
1968-01-02 09:00:00+00:00,2.17,69.77,0.9,28.94
1968-01-30 09:00:00+00:00,2.02,64.94,0.84,27.01
1968-02-01 09:00:00+00:00,2,64.3,0.83,26.69
1968-03-01 09:00:00+00:00,2.2,70.73,0.92,29.58
1968-04-01 09:00:00+00:00,2.26,72.66,0.94,30.22
1968-04-30 09:00:00+00:00,2.4,77.16,1,32.15
1968-05-01 09:00:00+00:00,2.36,75.88,0.98,31.51
1968-05-30 09:00:00+00:00,2.48,79.73,1.04,33.44
1968-06-04 09:00:00+00:00,2.43,78.13,1.02,32.79
1968-07-01 09:00:00+00:00,2.51,80.7,1.05,33.76
1968-07-30 09:00:00+00:00,2.24,72.02,0.93,29.9
1968-08-01 09:00:00+00:00,2.22,71.37,0.93,29.9
1968-08-30 09:00:00+00:00,2.24,72.02,0.94,30.22
1968-09-03 09:00:00+00:00,2.24,72.02,0.94,30.22
1968-09-30 09:00:00+00:00,2.17,69.77,0.91,29.26
1968-10-01 09:00:00+00:00,2.14,68.8,0.9,28.94
1968-10-30 09:00:00+00:00,1.96,63.02,0.82,26.36
1968-11-01 09:00:00+00:00,1.9,61.09,0.8,25.72
1968-12-02 09:00:00+00:00,1.94,62.37,0.81,26.04
1968-12-30 09:00:00+00:00,1.97,63.34,0.82,26.36
1969-01-02 09:00:00+00:00,1.96,63.02,0.82,26.36
1969-01-30 09:00:00+00:00,2,64.3,0.84,27.01
1969-02-03 09:00:00+00:00,1.99,63.98,0.83,26.69
1969-03-03 09:00:00+00:00,1.82,58.51,0.76,24.43
1969-03-31 09:00:00+00:00,1.82,58.51,0.76,24.43
1969-04-01 09:00:00+00:00,1.81,58.19,0.76,24.43
1969-04-30 09:00:00+00:00,1.78,57.23,0.74,23.79
1969-05-01 09:00:00+00:00,1.78,57.23,0.75,24.11
1969-05-30 09:00:00+00:00,1.77,56.91,0.74,23.79
1969-06-02 09:00:00+00:00,1.77,56.91,0.74,23.79
1969-06-30 09:00:00+00:00,1.56,50.16,0.65,20.9
1969-07-01 09:00:00+00:00,1.6,51.44,0.67,21.54
1969-07-30 09:00:00+00:00,1.62,52.08,0.68,21.86
1969-08-01 09:00:00+00:00,1.61,51.76,0.68,21.86
1969-09-02 09:00:00+00:00,1.69,54.33,0.71,22.83
1969-09-30 09:00:00+00:00,1.88,60.44,0.79,25.4
1969-10-01 09:00:00+00:00,1.86,59.8,0.78,25.08
1969-10-30 09:00:00+00:00,1.93,62.05,0.81,26.04
1969-11-03 09:00:00+00:00,2,64.3,0.83,26.69
1969-12-01 09:00:00+00:00,1.91,61.41,0.8,25.72
1969-12-30 09:00:00+00:00,1.8,57.87,0.75,24.11
1970-01-02 09:00:00+00:00,1.8,57.87,0.75,24.11
1970-01-30 09:00:00+00:00,1.91,61.41,0.8,25.72
1970-02-02 09:00:00+00:00,1.89,60.76,0.79,25.4
1970-03-02 09:00:00+00:00,1.89,60.76,0.79,25.4
1970-03-31 09:00:00+00:00,1.88,60.44,0.78,25.08
1970-04-01 09:00:00+00:00,1.88,60.44,0.78,25.08
1970-04-30 09:00:00+00:00,1.72,55.3,0.72,23.15
1970-05-01 09:00:00+00:00,1.73,55.62,0.72,23.15
1970-06-01 09:00:00+00:00,1.65,53.05,0.69,22.18
1970-06-30 09:00:00+00:00,1.61,51.76,0.67,21.54
1970-07-01 09:00:00+00:00,1.62,52.08,0.68,21.86
1970-07-30 09:00:00+00:00,1.77,56.91,0.74,23.79
1970-08-03 09:00:00+00:00,1.78,57.23,0.75,24.11
1970-09-01 09:00:00+00:00,1.85,59.48,0.78,25.08
1970-09-30 09:00:00+00:00,1.7,54.66,0.71,22.83
1970-10-01 09:00:00+00:00,1.72,55.3,0.72,23.15
1970-10-30 09:00:00+00:00,1.78,57.23,0.75,24.11
1970-11-02 09:00:00+00:00,1.8,57.87,0.75,24.11
1970-11-30 09:00:00+00:00,1.65,53.05,0.69,22.18
1970-12-01 09:00:00+00:00,1.61,51.76,0.67,21.54
1970-12-30 09:00:00+00:00,1.64,52.73,0.68,21.86
1971-01-04 09:00:00+00:00,1.65,53.05,0.69,22.18
1971-02-01 09:00:00+00:00,1.59,51.12,0.66,21.22
1971-03-01 09:00:00+00:00,1.6,51.44,0.66,21.22
